,0
514,12.0
515,12.0
516,6.0
517,18.0
518,28.0
519,13.0
520,30.0
521,24.0
522,10.0
523,7.0
524,20.0
525,10.0
526,11.0
527,22.0
528,6.0
529,14.0
530,13.0
531,16.0
532,7.0
533,4.0
534,11.0
535,9.0
536,22.0
537,15.0
538,22.0
539,15.0
540,10.0
541,27.0
542,27.0
543,17.0
544,19.0
545,28.0
546,32.0
547,29.0
548,12.0
549,19.0
550,18.0
551,11.0
552,6.0
553,9.0
554,6.0
555,9.0
556,13.0
557,7.0
558,8.0
559,21.0
560,6.0
561,7.0
562,10.0
563,21.0
564,25.0
565,20.0
566,10.0
567,14.0
568,17.0
569,19.0
570,5.0
571,7.0
572,9.0
573,7.0
574,16.0
575,5.0
576,27.0
577,37.0
578,33.0
579,26.0
580,25.0
581,10.0
582,36.0
583,23.0
584,4.0
585,13.0
586,14.0
587,9.0
588,13.0
589,16.0
590,8.0
591,17.0
592,22.0
593,13.0
594,20.0
595,6.0
596,13.0
597,13.0
598,17.0
599,8.0
600,18.0
601,16.0
602,19.0
603,19.0
604,15.0
605,26.0
606,10.0
607,21.0
608,28.0
609,25.0
610,19.0
611,32.0
612,23.0
613,18.0
614,12.0
615,13.0
616,6.0
617,7.0
618,13.0
619,13.0
620,17.0
621,11.0
622,10.0
623,26.0
624,19.0
625,13.0
626,8.0
627,6.0
628,25.0
629,10.0
630,18.0
631,24.0
632,17.0
633,19.0
634,26.0
635,17.0
636,13.0
637,14.0
638,19.0
639,4.0
640,22.0
641,7.0
642,13.0
643,8.0
644,26.0
645,24.0
646,21.0
647,6.0
648,17.0
649,24.0
650,19.0
651,15.0
652,8.0
653,20.0
654,11.0
655,17.0
656,38.0
657,6.0
658,21.0
659,30.0
660,15.0
661,10.0
662,8.0
663,6.0
664,13.0
665,7.0
666,6.0
667,14.0
668,5.0
669,4.0
670,12.0
671,24.0
672,11.0
673,24.0
674,16.0
675,11.0
676,14.0
677,9.0
678,10.0
679,15.0
680,17.0
681,13.0
682,17.0
683,11.0
684,15.0
685,14.0
686,8.0
687,11.0
688,13.0
689,26.0
690,29.0
691,10.0
692,13.0
693,9.0
694,18.0
695,17.0
696,13.0
697,4.0
698,5.0
699,47.0
700,45.0
701,20.0
702,31.0
703,12.0
704,16.0
705,8.0
706,8.0
707,9.0
708,7.0
709,3.0
710,9.0
711,33.0
712,31.0
713,13.0
714,25.0
715,24.0
716,15.0
717,4.0
718,9.0
719,14.0
720,11.0
721,14.0
722,18.0
723,12.0
724,4.0
725,10.0
726,18.0
727,9.0
728,13.0
729,15.0
730,9.0
731,28.0
732,22.0
733,13.0
734,14.0
735,20.0
736,24.0
737,24.0
738,14.0
739,14.0
740,7.0
741,33.0
742,17.0
743,33.0
744,40.0
745,30.0
746,23.0
747,13.0
748,23.0
749,4.0
750,21.0
751,20.0
752,22.0
753,15.0
754,24.0
755,15.0
756,6.0
757,3.0
758,9.0
759,7.0
760,6.0
761,16.0
762,17.0
763,7.0
764,16.0
765,33.0
766,15.0
767,16.0
768,12.0
769,33.0
770,18.0
771,21.0
772,11.0
773,27.0
774,27.0
775,31.0
776,21.0
777,29.0
778,26.0
779,24.0
780,7.0
781,7.0
782,12.0
783,3.0
784,16.0
785,18.0
786,27.0
787,24.0
788,28.0
789,15.0
790,28.0
791,16.0
792,6.0
793,8.0
794,14.0
795,8.0
796,7.0
797,6.0
798,14.0
799,10.0
800,9.0
801,5.0
802,10.0
803,21.0
804,21.0
805,13.0
806,24.0
807,12.0
808,14.0
809,16.0
810,13.0
811,14.0
812,32.0
813,13.0
814,33.0
815,17.0
816,35.0
817,12.0
818,25.0
819,16.0
820,12.0
821,21.0
822,12.0
823,25.0
824,21.0
825,11.0
826,24.0
827,3.0
828,5.0
829,8.0
830,15.0
831,14.0
832,7.0
833,8.0
834,6.0
835,10.0
836,12.0
837,18.0
838,17.0
839,4.0
840,3.0
841,12.0
842,15.0
843,10.0
844,6.0
845,20.0
846,29.0
847,14.0
848,23.0
849,27.0
850,27.0
851,11.0
852,18.0
853,21.0
854,14.0
855,13.0
856,30.0
857,29.0
858,22.0
859,5.0
860,28.0
861,23.0
862,18.0
863,28.0
864,10.0
865,9.0
866,31.0
867,6.0
868,9.0
869,6.0
870,5.0
871,8.0
872,6.0
873,11.0
874,5.0
875,10.0
876,19.0
877,17.0
878,13.0
879,28.0
880,18.0
881,9.0
882,16.0
883,8.0
884,5.0
885,10.0
886,20.0
887,20.0
888,19.0
889,4.0
