,0
2141,11.0
2142,8.0
2143,8.0
2144,24.0
2145,17.0
2146,21.0
2147,17.0
2148,16.0
2149,22.0
2150,8.0
2151,14.0
2152,5.0
2153,6.0
2154,12.0
2155,6.0
2156,6.0
2157,3.0
2158,29.0
2159,20.0
2160,18.0
2161,24.0
2162,14.0
2163,18.0
2164,18.0
2165,10.0
2166,4.0
2167,11.0
2168,5.0
2169,18.0
2170,26.0
2171,24.0
2172,18.0
2173,9.0
2174,11.0
2175,12.0
2176,16.0
2177,20.0
2178,25.0
2179,3.0
2180,24.0
2181,12.0
2182,17.0
2183,7.0
2184,7.0
2185,3.0
2186,8.0
2187,7.0
2188,5.0
2189,15.0
2190,10.0
2191,9.0
2192,15.0
2193,9.0
2194,5.0
2195,19.0
2196,14.0
2197,9.0
2198,8.0
2199,14.0
2200,13.0
2201,8.0
2202,14.0
2203,7.0
2204,21.0
2205,11.0
2206,3.0
2207,25.0
2208,27.0
2209,41.0
2210,31.0
2211,10.0
2212,8.0
2213,23.0
2214,19.0
2215,13.0
2216,17.0
2217,16.0
2218,13.0
2219,19.0
2220,15.0
2221,7.0
2222,13.0
2223,22.0
2224,25.0
2225,19.0
2226,50.0
2227,33.0
